layerset,loss,optimizer,epoch,seed,layer,correct
[[108; 'relu']; [300; 'relu']; [300; 'relu']],mse,rmsprop,20,3783421907,3,0.6428571428571429
[[108; 'relu']; [300; 'relu']; [300; 'linear']],mse,adam,13,3385333341,3,0.5714285714285714
[[108; 'relu']; [300; 'relu']; [300; 'linear']],mse,adam,20,2363467209,3,0.5892857142857143
[[108; 'relu']; [300; 'relu']; [300; 'linear']],mse,rmsprop,13,4162696153,3,0.625
[[108; 'relu']; [300; 'relu']; [300; 'linear']],mse,rmsprop,20,2459163757,3,0.625
[[108; 'relu']; [300; 'linear']; [108; 'relu']],mse,adam,13,341899565,3,0.6428571428571429
[[108; 'relu']; [300; 'linear']; [108; 'relu']],mse,adam,20,3635925512,3,0.6964285714285714
[[108; 'relu']; [300; 'linear']; [108; 'relu']],mse,rmsprop,13,301107347,3,0.6428571428571429
[[108; 'relu']; [300; 'linear']; [108; 'relu']],mse,rmsprop,20,3283908633,3,0.5
[[108; 'relu']; [300; 'linear']; [108; 'linear']],mse,adam,13,2765340608,3,0.7142857142857143
[[108; 'relu']; [300; 'linear']; [108; 'linear']],mse,adam,20,1923830810,3,0.6607142857142857
[[108; 'relu']; [300; 'linear']; [108; 'linear']],mse,rmsprop,13,4075302408,3,0.6428571428571429
[[108; 'relu']; [300; 'linear']; [108; 'linear']],mse,rmsprop,20,570930451,3,0.6964285714285714
[[108; 'relu']; [300; 'linear']; [164; 'relu']],mse,adam,13,1874611223,3,0.7678571428571429
[[108; 'relu']; [300; 'linear']; [164; 'relu']],mse,adam,20,3800973193,3,0.6607142857142857
[[108; 'relu']; [300; 'linear']; [164; 'relu']],mse,rmsprop,13,3733253499,3,0.7142857142857143
[[108; 'relu']; [300; 'linear']; [164; 'relu']],mse,rmsprop,20,3779548798,3,0.6607142857142857
[[108; 'relu']; [300; 'linear']; [164; 'linear']],mse,adam,13,854491544,3,0.75
[[108; 'relu']; [300; 'linear']; [164; 'linear']],mse,adam,20,2372960600,3,0.6607142857142857
[[108; 'relu']; [300; 'linear']; [164; 'linear']],mse,rmsprop,13,797182322,3,0.625
[[108; 'relu']; [300; 'linear']; [164; 'linear']],mse,rmsprop,20,1201072201,3,0.625
[[108; 'relu']; [300; 'linear']; [300; 'relu']],mse,adam,13,1582038026,3,0.6607142857142857
[[108; 'relu']; [300; 'linear']; [300; 'relu']],mse,adam,20,2623137588,3,0.6964285714285714
[[108; 'relu']; [300; 'linear']; [300; 'relu']],mse,rmsprop,13,1964611808,3,0.375
[[108; 'relu']; [300; 'linear']; [300; 'relu']],mse,rmsprop,20,2405510138,3,0.6428571428571429
[[108; 'relu']; [300; 'linear']; [300; 'linear']],mse,adam,13,1337565800,3,0.6428571428571429
[[108; 'relu']; [300; 'linear']; [300; 'linear']],mse,adam,20,374586027,3,0.5892857142857143
[[108; 'relu']; [300; 'linear']; [300; 'linear']],mse,rmsprop,13,1486912313,3,0.5714285714285714
[[108; 'relu']; [300; 'linear']; [300; 'linear']],mse,rmsprop,20,755231204,3,0.6964285714285714
[[108; 'linear']; [108; 'relu']; [108; 'relu']],mse,adam,13,1180631560,3,0.6607142857142857
[[108; 'linear']; [108; 'relu']; [108; 'relu']],mse,adam,20,2222054761,3,0.6607142857142857
[[108; 'linear']; [108; 'relu']; [108; 'relu']],mse,rmsprop,13,90817719,3,0.6071428571428571
[[108; 'linear']; [108; 'relu']; [108; 'relu']],mse,rmsprop,20,753967142,3,0.7142857142857143
[[108; 'linear']; [108; 'relu']; [108; 'linear']],mse,adam,13,2856785344,3,0.7321428571428571
[[108; 'linear']; [108; 'relu']; [108; 'linear']],mse,adam,20,3048344051,3,0.7857142857142857
[[108; 'linear']; [108; 'relu']; [108; 'linear']],mse,rmsprop,13,28575181,3,0.6964285714285714
[[108; 'linear']; [108; 'relu']; [108; 'linear']],mse,rmsprop,20,1885961735,3,0.6607142857142857
[[108; 'linear']; [108; 'relu']; [164; 'relu']],mse,adam,13,2667912869,3,0.6964285714285714
[[108; 'linear']; [108; 'relu']; [164; 'relu']],mse,adam,20,3535438163,3,0.6428571428571429
[[108; 'linear']; [108; 'relu']; [164; 'relu']],mse,rmsprop,13,3058881317,3,0.625
[[108; 'linear']; [108; 'relu']; [164; 'relu']],mse,rmsprop,20,3425195973,3,0.5892857142857143
[[108; 'linear']; [108; 'relu']; [164; 'linear']],mse,adam,13,3157032280,3,0.5892857142857143
[[108; 'linear']; [108; 'relu']; [164; 'linear']],mse,adam,20,1168953226,3,0.6785714285714286
[[108; 'linear']; [108; 'relu']; [164; 'linear']],mse,rmsprop,13,3393953602,3,0.6607142857142857
[[108; 'linear']; [108; 'relu']; [164; 'linear']],mse,rmsprop,20,2731400432,3,0.7142857142857143
[[108; 'linear']; [108; 'relu']; [300; 'relu']],mse,adam,13,406018382,3,0.625
[[108; 'linear']; [108; 'relu']; [300; 'relu']],mse,adam,20,663492611,3,0.6964285714285714
[[108; 'linear']; [108; 'relu']; [300; 'relu']],mse,rmsprop,13,1463093321,3,0.6964285714285714
[[108; 'linear']; [108; 'relu']; [300; 'relu']],mse,rmsprop,20,2086187165,3,0.6785714285714286
[[108; 'linear']; [108; 'relu']; [300; 'linear']],mse,adam,13,1924142647,3,0.6964285714285714
[[108; 'linear']; [108; 'relu']; [300; 'linear']],mse,adam,20,3218410131,3,0.6785714285714286
[[108; 'linear']; [108; 'relu']; [300; 'linear']],mse,rmsprop,13,427475657,3,0.6785714285714286
[[108; 'linear']; [108; 'relu']; [300; 'linear']],mse,rmsprop,20,2070296621,3,0.6785714285714286
[[108; 'linear']; [108; 'linear']; [108; 'relu']],mse,adam,13,1850143836,3,0.625
[[108; 'linear']; [108; 'linear']; [108; 'relu']],mse,adam,20,2559784311,3,0.6428571428571429
[[108; 'linear']; [108; 'linear']; [108; 'relu']],mse,rmsprop,13,943947546,3,0.6607142857142857
[[108; 'linear']; [108; 'linear']; [108; 'relu']],mse,rmsprop,20,2079103894,3,0.6428571428571429
[[108; 'linear']; [108; 'linear']; [108; 'linear']],mse,adam,13,2388664786,3,0.7321428571428571
[[108; 'linear']; [108; 'linear']; [108; 'linear']],mse,adam,20,3755278358,3,0.6607142857142857
[[108; 'linear']; [108; 'linear']; [108; 'linear']],mse,rmsprop,13,3011914461,3,0.6607142857142857
[[108; 'linear']; [108; 'linear']; [108; 'linear']],mse,rmsprop,20,3491046524,3,0.7321428571428571
[[108; 'linear']; [108; 'linear']; [164; 'relu']],mse,adam,13,1510362061,3,0.6428571428571429
[[108; 'linear']; [108; 'linear']; [164; 'relu']],mse,adam,20,1178443902,3,0.6964285714285714
[[108; 'linear']; [108; 'linear']; [164; 'relu']],mse,rmsprop,13,1986104425,3,0.5178571428571429
[[108; 'linear']; [108; 'linear']; [164; 'relu']],mse,rmsprop,20,4005805889,3,0.6607142857142857
